ID,AMK
1,0.9806722
2,0.99294996
3,0.98806447
4,0.9952897
5,0.99493414
6,0.98806447
7,0.9715627
8,0.99060714
9,0.9683885
10,0.9418967
11,0.98843944
12,0.9851627
13,0.99427915
14,0.9900373
15,0.99273384
16,0.9645045
17,0.9949071
18,0.9901168
19,0.9943479
20,0.9611932
21,0.98626083
22,0.9952897
23,0.99329925
24,0.9961062
25,0.98960555
26,0.9835829
27,0.9949765
28,0.98575145
29,0.9932435
30,0.9936359
31,0.99443287
32,0.92523724
33,0.98053
34,0.97279954
35,0.35945678
36,0.9970426
37,0.9715627
38,0.98812973
39,0.99493414
40,0.99649316
41,0.97012895
42,0.9973308
43,0.9788898
44,0.9914084
45,0.9955414
46,0.9829611
47,0.9951074
48,0.9952897
49,0.994669
50,0.9826317
51,0.7808348
52,0.96564716
53,0.98083824
54,0.98232377
55,0.99376726
56,0.99395645
57,0.99443287
58,0.9908366
59,0.99018365
60,0.96575904
61,0.98677987
62,0.9584637
63,0.9868478
64,0.98272026
65,0.9204036
66,0.9715353
67,0.9848712
68,0.9970426
69,0.9954586
70,0.99493414
71,0.97993004
72,0.99094206
73,0.9808296
74,0.96424896
75,0.99282277
76,0.99274147
77,0.98083824
78,0.9900371
79,0.9886874
80,0.9922276
81,0.99221236
82,0.99134433
83,0.98757553
84,0.98699385
85,0.4109726
86,0.99458057
87,0.92384464
88,0.9917966
89,0.93648034
90,0.9926146
91,0.9964914
92,0.9897092
93,0.9801547
94,0.69036764
95,0.9881747
96,0.98526555
97,0.9955414
98,0.98913914
99,0.9881037
100,0.8450793
101,0.9814586
102,0.99781066
103,0.9754681
104,0.99599046
105,0.97992694
106,0.99484384
107,0.98849154
108,0.99200845
109,0.9713377
110,0.9972097
111,0.8450793
112,0.9974623
113,0.99781066
114,0.9658171
115,0.97136366
116,0.98851866
117,0.97992694
118,0.99484384
119,0.9930616
120,0.99140304
121,0.22855748
122,0.9239254
123,0.9884144
124,0.99222374
125,0.8812434
126,0.98849154
127,0.13031848
128,0.99484384
129,0.9901168
130,0.5627491
131,0.98849154
132,0.8812434
133,0.9838346
134,0.9901168
135,0.98849154
136,0.98849154
137,0.9366871
138,0.97170174
139,0.8450793
140,0.9912281
141,0.9952897
142,0.98753685
143,0.98849154
144,0.98467016
145,0.99015874
146,0.96932834
147,0.9953093
148,0.99130344
149,0.98054254
150,0.84199715
151,0.99439454
152,0.98743093
153,0.99629706
154,0.98054254
155,0.99629706
156,0.99355316
157,0.9851193
158,0.94844157
159,0.97144115
160,0.9951763
161,0.9958134
162,0.92816955
163,0.9544167
164,0.9946725
165,0.9440332
166,0.99466866
167,0.98961186
168,0.9953441
169,0.9930641
170,0.92816955
171,0.97144115
172,0.98509675
173,0.9734668
174,0.9974623
175,0.96800184
176,0.98849154
177,0.9521419
178,0.87586397
179,0.8450793
180,0.964521
181,0.8812434
182,0.8450793
183,0.9917354
184,0.9877127
185,0.92816955
186,0.96932834
187,0.9517947
188,0.9928207
189,0.989938
190,0.9440332
191,0.96932834
192,0.9976514
193,0.9846731
194,0.9846731
195,0.9975776
196,0.9640337
197,0.98666406
198,0.98999107
200,0.9794979
202,0.9955414
204,0.98999107
206,0.9964862
208,0.84769017
212,0.9908127
213,0.9898863
215,0.97110534
216,0.96209276
217,0.029049063
218,0.7822424
219,0.9678074
220,0.99780744
221,0.7182827
222,0.9927193
224,0.99452543
227,0.97461414
228,0.996797
231,0.97640616
232,0.98490196
234,0.9762155
235,0.9180319
236,0.9970521
238,0.7822424
239,0.8452723
240,0.99309385
242,0.9946285
243,0.9938459
244,0.99196786
245,0.9946285
247,0.99604565
251,0.96795213
256,0.3692887
257,0.9465095
258,0.99246526
259,0.9900739
262,0.91413236
263,0.9910261
264,0.99532
266,0.9959281
267,0.99781066
270,0.97655225
271,0.99106616
272,0.99604565
278,0.98511606
279,0.98057705
280,0.9631212
281,0.9964862
287,0.99665064
289,0.9956144
290,0.9867199
296,0.9771124
302,0.971347
307,0.9834298
316,0.99642366
319,0.97262007
320,0.9624233
325,0.98024356
333,0.996482
345,0.9968148
352,0.9671156
356,0.9725677
363,0.9942087
380,0.99486697
381,0.8279106
388,0.9975229
392,0.9938392
398,0.9978903
413,0.9974184
422,0.9974184
431,0.9972922
455,0.99781066
467,0.9864407
483,0.029049063
485,0.9951805
488,0.9968438
498,0.99467504
503,0.9974771
510,0.99149406
524,0.99781066
543,0.9975556
549,0.9839316
554,0.97655225
559,0.99614537
565,0.99696547
567,0.9953027
576,0.9888136
579,0.92980576
588,0.9958973
598,0.7015903
599,0.9975381
601,0.9975229
603,0.9923477
628,0.9962566
805,0.99634796
809,0.9475679
816,0.9093245
826,0.99377716
841,0.9961849
847,0.9836489
893,0.9975556
951,0.99368274
952,0.9755627
953,0.99671715
954,0.99485886
955,0.9947891
956,0.97380316
957,0.9856192
958,0.9971571
959,0.99781066
960,0.9962436
961,0.99562705
962,0.9975776
963,0.9968689
964,0.9978903
965,0.9964914
966,0.99696547
967,0.9965668
968,0.9848942
969,0.9975508
970,0.9965668
971,0.99781066
972,0.99781066
973,0.99781066
974,0.9964696
975,0.99516344
976,0.9974623
977,0.9957885
978,0.9975472
979,0.98392546
980,0.9945517
981,0.98816895
982,0.97485936
983,0.9941017
984,0.98816895
985,0.9928445
986,0.9968438
987,0.9975472
988,0.9885153
989,0.99495476
990,0.9824607
991,0.9856704
992,0.97485936
